[2018-05-25 18:43:23,891][draw][10048][INFO][__init__():32]## 实例化draw
[2018-05-25 18:43:24,453][draw][10048][INFO][createCombobox():54]## 创建调参栏
[2018-05-25 18:43:24,485][draw][10048][INFO][creatCanvas():92]## 创建三块画板
[2018-05-25 18:43:24,766][draw][10048][INFO][compare():133]## 比较Linux和Web
[2018-05-25 18:43:24,781][dataoptions][10048][INFO][compress():141]## 比较Linux和Web
[2018-05-25 18:43:24,781][dataoptions][10048][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:43:24,781][dataoptions][10048][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:43:25,156][draw][10048][INFO][reDraw():279]## 重绘
[2018-05-25 18:43:25,156][draw][10048][INFO][allJobs_pie():264]## 绘制职位信息概总饼图
[2018-05-25 18:43:25,156][dataoptions][10048][INFO][getAllJobNum():107]## 统计所有职位量
[2018-05-25 18:43:25,375][draw][10048][INFO][allCity_pie():249]## 绘制城市职位概总饼图
[2018-05-25 18:43:25,375][dataoptions][10048][INFO][getJobInCity():94]## 统计所有职位分布
[2018-05-25 18:43:25,547][draw][10048][INFO][show():292]## Nothing
[2018-05-25 18:43:34,656][draw][10048][INFO][reDraw():279]## 重绘
[2018-05-25 18:43:34,656][draw][10048][INFO][cityCountOfjob():193]## 绘制区块链的招聘情况柱状图
[2018-05-25 18:43:34,656][dataoptions][10048][INFO][cityOfJob():103]## 统计区块链的城市分布信息
[2018-05-25 18:43:34,860][draw][10048][INFO][cityCountOfjob_pie():207]## 绘制区块链的城市分布饼图
[2018-05-25 18:43:34,860][dataoptions][10048][INFO][cityOfJob():103]## 统计区块链的城市分布信息
[2018-05-25 18:43:46,110][draw][10048][INFO][reDraw():279]## 重绘
[2018-05-25 18:43:54,265][draw][10048][INFO][cityCountOfjob():193]## 绘制大数据的招聘情况柱状图
[2018-05-25 18:43:54,280][dataoptions][10048][INFO][cityOfJob():103]## 统计大数据的城市分布信息
[2018-05-25 18:43:54,484][draw][10048][INFO][cityCountOfjob_pie():207]## 绘制大数据的城市分布饼图
[2018-05-25 18:43:54,484][dataoptions][10048][INFO][cityOfJob():103]## 统计大数据的城市分布信息
[2018-05-25 18:44:01,939][draw][10048][INFO][reDraw():279]## 重绘
[2018-05-25 18:44:01,939][draw][10048][INFO][cityCountOfjob():193]## 绘制C#的招聘情况柱状图
[2018-05-25 18:44:01,939][dataoptions][10048][INFO][cityOfJob():103]## 统计C#的城市分布信息
[2018-05-25 18:44:02,142][draw][10048][INFO][cityCountOfjob_pie():207]## 绘制C#的城市分布饼图
[2018-05-25 18:44:02,142][dataoptions][10048][INFO][cityOfJob():103]## 统计C#的城市分布信息
[2018-05-25 18:44:04,907][draw][10048][INFO][reDraw():279]## 重绘
[2018-05-25 18:44:04,907][draw][10048][INFO][cityCountOfjob():193]## 绘制Web的招聘情况柱状图
[2018-05-25 18:44:04,907][dataoptions][10048][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:44:05,095][draw][10048][INFO][cityCountOfjob_pie():207]## 绘制Web的城市分布饼图
[2018-05-25 18:44:05,095][dataoptions][10048][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:44:07,095][draw][10048][INFO][reDraw():279]## 重绘
[2018-05-25 18:44:07,095][draw][10048][INFO][cityCountOfjob():193]## 绘制C#的招聘情况柱状图
[2018-05-25 18:44:07,095][dataoptions][10048][INFO][cityOfJob():103]## 统计C#的城市分布信息
[2018-05-25 18:44:07,298][draw][10048][INFO][cityCountOfjob_pie():207]## 绘制C#的城市分布饼图
[2018-05-25 18:44:07,298][dataoptions][10048][INFO][cityOfJob():103]## 统计C#的城市分布信息
[2018-05-25 18:44:09,095][draw][10048][INFO][compare():133]## 比较Linux和Linux
[2018-05-25 18:44:09,095][dataoptions][10048][INFO][compress():141]## 比较Linux和Linux
[2018-05-25 18:44:09,095][dataoptions][10048][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:44:09,095][dataoptions][10048][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:44:15,204][draw][10048][INFO][compare():133]## 比较数据库和Linux
[2018-05-25 18:44:15,204][dataoptions][10048][INFO][compress():141]## 比较数据库和Linux
[2018-05-25 18:44:15,204][dataoptions][10048][INFO][cityOfJob():103]## 统计数据库的城市分布信息
[2018-05-25 18:44:15,204][dataoptions][10048][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:53:45,995][draw][8980][INFO][__init__():32]## 实例化draw
[2018-05-25 18:53:46,870][draw][8980][INFO][createCombobox():54]## 创建调参栏
[2018-05-25 18:53:46,917][draw][8980][INFO][creatCanvas():92]## 创建三块画板
[2018-05-25 18:53:47,261][draw][8980][INFO][compare():133]## 比较Linux和Web
[2018-05-25 18:53:47,261][dataoptions][8980][INFO][compress():141]## 比较Linux和Web
[2018-05-25 18:53:47,261][dataoptions][8980][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:53:47,261][dataoptions][8980][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:53:47,792][draw][8980][INFO][reDraw():279]## 重绘
[2018-05-25 18:53:47,792][draw][8980][INFO][allJobs_pie():264]## 绘制职位信息概总饼图
[2018-05-25 18:53:47,792][dataoptions][8980][INFO][getAllJobNum():107]## 统计所有职位量
[2018-05-25 18:53:47,933][draw][8980][INFO][allCity_pie():249]## 绘制城市职位概总饼图
[2018-05-25 18:53:47,933][dataoptions][8980][INFO][getJobInCity():94]## 统计所有职位分布
[2018-05-25 18:53:48,105][draw][8980][INFO][show():292]## Nothing
[2018-05-25 18:53:57,339][draw][8980][INFO][reDraw():279]## 重绘
[2018-05-25 18:53:57,339][draw][8980][INFO][cityCountOfjob():193]## 绘制区块链的招聘情况柱状图
[2018-05-25 18:53:57,339][dataoptions][8980][INFO][cityOfJob():103]## 统计区块链的城市分布信息
[2018-05-25 18:53:57,589][draw][8980][INFO][cityCountOfjob_pie():207]## 绘制区块链的城市分布饼图
[2018-05-25 18:53:57,589][dataoptions][8980][INFO][cityOfJob():103]## 统计区块链的城市分布信息
[2018-05-25 18:54:08,480][draw][8980][INFO][reDraw():279]## 重绘
[2018-05-25 18:54:08,480][draw][8980][INFO][cityCountOfjob():193]## 绘制大数据的招聘情况柱状图
[2018-05-25 18:54:08,480][dataoptions][8980][INFO][cityOfJob():103]## 统计大数据的城市分布信息
[2018-05-25 18:54:08,698][draw][8980][INFO][cityCountOfjob_pie():207]## 绘制大数据的城市分布饼图
[2018-05-25 18:54:08,698][dataoptions][8980][INFO][cityOfJob():103]## 统计大数据的城市分布信息
[2018-05-25 18:54:20,183][draw][8980][INFO][compare():133]## 比较Web和Web
[2018-05-25 18:54:20,183][dataoptions][8980][INFO][compress():141]## 比较Web和Web
[2018-05-25 18:54:20,183][dataoptions][8980][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:54:20,183][dataoptions][8980][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:54:27,339][draw][8980][INFO][compare():133]## 比较Web和HTML5
[2018-05-25 18:54:27,339][dataoptions][8980][INFO][compress():141]## 比较Web和HTML5
[2018-05-25 18:54:27,339][dataoptions][8980][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:54:27,339][dataoptions][8980][INFO][cityOfJob():103]## 统计HTML5的城市分布信息
[2018-05-25 18:54:34,214][draw][8980][INFO][reDraw():279]## 重绘
[2018-05-25 18:54:34,214][draw][8980][INFO][cityCountOfjob():193]## 绘制Web的招聘情况柱状图
[2018-05-25 18:54:34,214][dataoptions][8980][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:54:34,480][draw][8980][INFO][cityCountOfjob_pie():207]## 绘制Web的城市分布饼图
[2018-05-25 18:54:34,480][dataoptions][8980][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:58:01,411][draw][5248][INFO][__init__():32]## 实例化draw
[2018-05-25 18:58:02,052][draw][5248][INFO][createCombobox():54]## 创建调参栏
[2018-05-25 18:58:02,115][draw][5248][INFO][creatCanvas():92]## 创建三块画板
[2018-05-25 18:58:02,411][draw][5248][INFO][compare():133]## 比较Linux和Web
[2018-05-25 18:58:02,411][dataoptions][5248][INFO][compress():141]## 比较Linux和Web
[2018-05-25 18:58:02,427][dataoptions][5248][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:58:02,427][dataoptions][5248][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:58:02,786][draw][5248][INFO][reDraw():279]## 重绘
[2018-05-25 18:58:02,786][draw][5248][INFO][allJobs_pie():264]## 绘制职位信息概总饼图
[2018-05-25 18:58:02,786][dataoptions][5248][INFO][getAllJobNum():107]## 统计所有职位量
[2018-05-25 18:58:02,943][draw][5248][INFO][allCity_pie():249]## 绘制城市职位概总饼图
[2018-05-25 18:58:02,943][dataoptions][5248][INFO][getJobInCity():94]## 统计所有职位分布
[2018-05-25 18:58:03,099][draw][5248][INFO][show():292]## Nothing
[2018-05-25 18:58:08,802][draw][5248][INFO][reDraw():279]## 重绘
[2018-05-25 18:58:08,802][draw][5248][INFO][cityCountOfjob():193]## 绘制大数据的招聘情况柱状图
[2018-05-25 18:58:08,802][dataoptions][5248][INFO][cityOfJob():103]## 统计大数据的城市分布信息
[2018-05-25 18:58:09,005][draw][5248][INFO][cityCountOfjob_pie():207]## 绘制大数据的城市分布饼图
[2018-05-25 18:58:09,005][dataoptions][5248][INFO][cityOfJob():103]## 统计大数据的城市分布信息
[2018-05-25 18:58:14,729][draw][5248][INFO][reDraw():279]## 重绘
[2018-05-25 18:58:14,729][draw][5248][INFO][cityCountOfjob():193]## 绘制Java的招聘情况柱状图
[2018-05-25 18:58:14,745][dataoptions][5248][INFO][cityOfJob():103]## 统计Java的城市分布信息
[2018-05-25 18:58:14,979][draw][5248][INFO][cityCountOfjob_pie():207]## 绘制Java的城市分布饼图
[2018-05-25 18:58:14,979][dataoptions][5248][INFO][cityOfJob():103]## 统计Java的城市分布信息
[2018-05-25 18:58:16,636][draw][5248][INFO][reDraw():279]## 重绘
[2018-05-25 18:58:16,636][draw][5248][INFO][cityCountOfjob():193]## 绘制Linux的招聘情况柱状图
[2018-05-25 18:58:16,636][dataoptions][5248][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:58:16,839][draw][5248][INFO][cityCountOfjob_pie():207]## 绘制Linux的城市分布饼图
[2018-05-25 18:58:16,839][dataoptions][5248][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:58:20,120][draw][5248][INFO][reDraw():279]## 重绘
[2018-05-25 18:58:20,120][draw][5248][INFO][cityCountOfjob():193]## 绘制Linux的招聘情况柱状图
[2018-05-25 18:58:20,120][dataoptions][5248][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:58:20,323][draw][5248][INFO][cityCountOfjob_pie():207]## 绘制Linux的城市分布饼图
[2018-05-25 18:58:20,323][dataoptions][5248][INFO][cityOfJob():103]## 统计Linux的城市分布信息
[2018-05-25 18:58:22,245][draw][5248][INFO][compare():133]## 比较数据库和Web
[2018-05-25 18:58:22,245][dataoptions][5248][INFO][compress():141]## 比较数据库和Web
[2018-05-25 18:58:22,245][dataoptions][5248][INFO][cityOfJob():103]## 统计数据库的城市分布信息
[2018-05-25 18:58:22,261][dataoptions][5248][INFO][cityOfJob():103]## 统计Web的城市分布信息
[2018-05-25 18:58:24,386][draw][5248][INFO][compare():133]## 比较数据库和C/C++
[2018-05-25 18:58:24,386][dataoptions][5248][INFO][compress():141]## 比较数据库和C/C++
[2018-05-25 18:58:24,386][dataoptions][5248][INFO][cityOfJob():103]## 统计数据库的城市分布信息
[2018-05-25 18:58:24,386][dataoptions][5248][INFO][cityOfJob():103]## 统计C/C++的城市分布信息
[2018-05-25 18:58:26,499][draw][5248][INFO][compare():133]## 比较数据库和C#
[2018-05-25 18:58:26,514][dataoptions][5248][INFO][compress():141]## 比较数据库和C#
[2018-05-25 18:58:26,514][dataoptions][5248][INFO][cityOfJob():103]## 统计数据库的城市分布信息
[2018-05-25 18:58:26,530][dataoptions][5248][INFO][cityOfJob():103]## 统计C#的城市分布信息
[2018-05-25 18:58:28,952][draw][5248][INFO][compare():133]## 比较Linux和C#
[2018-05-25 18:58:28,952][dataoptions][5248][INFO][compress():141]## 比较Linux和C#
[2018-05-25 18:58:28,952][dataoptions][5248][INFO][cityOfJob():103]## 统计Linux的城市分布信息
